webApp,jsFiles,total,deadIdentified,executionTime,analysisType,trueAlive,trueDead,truePositives
ampersand,2,774,483,64727,dynamic,385,389,297
ampersand,2,774,527,5884,static,385,389,255
ampersand,2,774,267,66743,hybrid,385,389,176
angularjs_require,2,127,119,60428,dynamic,71,56,55
angularjs_require,2,127,42,586,static,71,56,25
angularjs_require,2,127,42,61034,hybrid,71,56,25
backbone,11,950,707,71913,dynamic,400,550,461
backbone,11,950,277,23936,static,400,550,177
backbone,11,950,247,86328,hybrid,400,550,166
canjs,7,1105,655,65758,dynamic,577,528,405
canjs,7,1105,308,94163,static,577,528,165
canjs,7,1105,227,159399,hybrid,577,528,149
canjs_require,2,128,61,60582,dynamic,67,61,36
canjs_require,2,128,43,615,static,67,61,25
canjs_require,2,128,32,61044,hybrid,67,61,22
closure,2,591,572,61670,dynamic,291,300,289
closure,2,591,243,2772,static,291,300,156
closure,2,591,226,64419,hybrid,291,300,147
dijon,12,834,543,70815,dynamic,356,478,380
dijon,12,834,326,9433,static,356,478,184
dijon,12,834,225,71137,hybrid,356,478,154
dojo,3,1074,567,68247,dynamic,591,483,317
dojo,3,1074,533,13127,static,591,483,271
dojo,3,1074,219,73121,hybrid,591,483,133
elm,3,965,732,72183,dynamic,310,655,568
elm,3,965,297,76696,static,310,655,235
elm,3,965,230,138661,hybrid,310,655,199
enyo_backbone,3,20,13,60354,dynamic,7,13,10
enyo_backbone,3,20,11,306,static,7,13,9
enyo_backbone,3,20,11,60488,hybrid,7,13,9
exoskeleton,12,256,162,60669,dynamic,176,80,56
exoskeleton,12,256,119,1078,static,176,80,37
exoskeleton,12,256,77,61672,hybrid,176,80,26
gwt,2,45,24,60325,dynamic,21,24,15
gwt,2,45,19,335,static,21,24,14
gwt,2,45,12,60618,hybrid,21,24,9
jquery,5,869,692,64910,dynamic,376,493,433
jquery,5,869,310,13799,static,376,493,173
jquery,5,869,238,75126,hybrid,376,493,151
js_of_ocaml,2,1352,1048,77641,dynamic,366,986,876
js_of_ocaml,2,1352,779,36233,static,366,986,658
js_of_ocaml,2,1352,664,93760,hybrid,366,986,602
jsblocks,3,885,543,63826,dynamic,433,452,339
jsblocks,3,885,252,11681,static,433,452,149
jsblocks,3,885,197,73075,hybrid,433,452,131
knockoutjs,4,560,334,61657,dynamic,315,245,169
knockoutjs,4,560,146,2721,static,315,245,86
knockoutjs,4,560,107,63184,hybrid,315,245,72
knockoutjs_require,2,128,61,60470,dynamic,67,61,35
knockoutjs_require,2,128,43,567,static,67,61,23
knockoutjs_require,2,128,33,61013,hybrid,67,61,21
mithril,8,136,92,60464,dynamic,70,66,57
mithril,8,136,72,623,static,70,66,50
mithril,8,136,69,61071,hybrid,70,66,50
olives,2,533,471,61455,dynamic,227,306,292
olives,2,533,524,2173,static,227,306,302
olives,2,533,412,62767,hybrid,227,306,261
puremvc,16,229,190,60548,dynamic,143,86,76
puremvc,16,229,192,803,static,143,86,74
puremvc,16,229,75,61388,hybrid,143,86,42
ractive,6,932,510,64341,dynamic,569,363,264
ractive,6,932,146,7115,static,569,363,90
ractive,6,932,143,69122,hybrid,569,363,90
serenadejs,4,400,243,60975,dynamic,254,146,103
serenadejs,4,400,222,1445,static,254,146,89
serenadejs,4,400,93,62260,hybrid,254,146,46
somajs,10,342,179,60886,dynamic,208,134,91
somajs,10,342,144,1213,static,208,134,54
somajs,10,342,61,61946,hybrid,208,134,32
somajs_require,2,128,57,60484,dynamic,71,57,33
somajs_require,2,128,43,576,static,71,57,25
somajs_require,2,128,32,60953,hybrid,71,57,21
spine,9,999,762,72402,dynamic,456,543,448
spine,9,999,364,15633,static,456,543,186
spine,9,999,308,77517,hybrid,456,543,169
troopjs_require,2,130,59,60737,dynamic,71,59,32
troopjs_require,2,130,44,566,static,71,59,22
troopjs_require,2,130,33,61174,hybrid,71,59,20
typescript-backbone,6,1243,946,73654,dynamic,455,788,647
typescript-backbone,6,1243,422,91645,static,455,788,286
typescript-backbone,6,1243,354,143855,hybrid,455,788,243
vanilla-es6,2,80,55,60349,dynamic,53,27,23
vanilla-es6,2,80,35,365,static,53,27,12
vanilla-es6,2,80,29,60695,hybrid,53,27,11
vanillajs,8,131,83,60412,dynamic,107,24,20
vanillajs,8,131,70,455,static,107,24,14
vanillajs,8,131,50,60745,hybrid,107,24,12
